2,255
2,255
2,254
2,0
2,255
2,0
2,255
2,255
2,255
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
1,16
2,255
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
1,2
2,0
1,2
1,2
1,3
1,2
1,2
1,1
2,0
1,2
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,4
1,3
1,3
1,3
1,4
1,4
1,4
1,4
1,4
1,4
1,3
1,4
1,4
1,4
1,4
1,4
1,5
1,4
1,5
1,5
1,5
1,4
1,6
1,5
1,6
1,6
1,6
1,5
1,6
1,6
1,5
1,6
1,6
1,6
1,6
1,7
1,6
1,6
1,6
1,7
1,7
1,7
1,7
1,6
1,7
1,7
1,7
1,7
1,15
1,7
1,8
1,8
1,8
1,8
1,8
1,8
1,8
1,8
1,8
1,8
1,8
1,9
1,8
1,8
1,9
1,9
1,8
1,9
1,8
1,8
1,10
1,9
1,9
1,9
1,9
1,10
1,9
1,9
1,9
1,9
1,10
1,9
1,10
1,10
1,9
1,10
1,10
1,5
1,10
1,10
1,10
1,10
1,11
1,11
1,11
1,11
1,11
1,11
1,12
1,11
1,12
1,12
1,12
1,11
1,12
1,12
1,20
1,11
1,13
1,12
1,12
1,13
1,13
1,13
1,13
1,13
1,12
1,13
1,13
1,14
1,14
1,14
1,14
1,14
1,13
1,1
1,12
1,13
1,14
1,14
1,14
1,14
1,15
1,14
1,14
1,14
1,15
1,15
1,15
1,14
1,15
1,15
1,15
1,14
1,14
1,14
1,16
1,16
1,16
1,16
1,16
1,15
1,16
1,16
1,16
1,16
1,16
1,16
1,16
1,16
1,17
1,16
1,17
1,17
1,22
1,16
1,17
1,16
1,17
1,18
1,17
1,17
1,17
1,18
1,17
1,18
1,18
1,18
1,18
1,18
1,18
1,19
1,19
1,4
1,16
1,18
1,19
1,19
1,19
1,19
1,20
1,18
1,19
1,19
1,19
1,19
1,19
1,20
1,20
1,19
1,19
1,20
1,20
1,16
1,20
1,20
1,21
1,21
1,21
1,20
1,21
1,20
1,20
1,20
1,20
1,21
1,20
1,20
1,21
1,21
1,22
1,21
1,28
1,20
1,20
1,21
1,21
1,21
1,21
1,21
1,21
1,22
1,22
1,22
1,23
1,22
1,23
1,22
1,23
1,22
1,23
1,23
1,23
1,23
1,23
1,23
1,23
1,23
1,24
1,23
1,24
1,24
1,24
1,24
1,24
1,24
1,24
1,24
1,24
1,24
1,25
1,25
1,23
1,24
1,24
1,25
1,26
1,25
1,26
1,25
1,26
1,26
1,25
1,26
1,26
1,26
1,26
1,25
1,26
1,26
1,26
1,19
1,26
1,26
1,26
1,26
1,26
1,26
1,26
1,27
1,27
1,27
1,27
1,27
1,27
1,27
1,27
1,27
1,28
1,27
1,32
1,27
1,28
1,28
1,28
1,28
1,28
1,28
1,28
1,28
1,28
1,28
1,28
1,30
1,29
1,29
1,29
1,29
1,28
1,29
1,28
1,28
1,30
1,29
1,30
1,30
1,30
1,31
1,30
1,30
1,31
1,30
1,31
1,30
1,30
1,31
1,31
1,31
1,31
1,24
1,31
1,31
1,32
1,31
1,32
1,32
1,32
1,31
1,31
1,32
1,32
1,31
1,32
1,32
1,32
1,32
1,32
1,32
1,40
1,31
1,32
1,31
1,32
1,32
1,32
1,32
1,32
1,32
1,32
1,32
1,32
1,32
1,32
1,34
1,32
1,33
1,32
1,30
1,33
1,33
1,34
1,34
1,35
1,34
1,35
1,35
1,35
1,35
1,35
1,35
1,35
1,35
1,36
1,35
1,36
1,96
1,34
1,36
1,36
1,36
1,35
1,36
1,35
1,36
1,36
1,36
1,36
1,35
1,36
1,37
1,37
1,37
1,38
1,36
1,42
1,36
1,37
1,37
1,37
1,37
1,37
1,38
1,38
1,37
1,37
1,37
1,38
1,38
1,38
1,38
1,37
1,38
1,38
1,38
1,38
1,38
1,38
1,39
1,39
1,39
1,39
1,38
1,39
1,39
1,39
1,39
1,39
1,39
1,39
1,40
1,39
1,40
1,39
1,33
1,39
1,40
1,40
1,40
1,40
1,41
1,40
1,40
1,41
1,40
1,40
1,41
1,42
1,41
1,41
1,41
1,42
1,42
1,48
1,40
1,41
1,42
1,42
1,41
1,42
1,43
1,42
1,42
1,42
1,43
1,43
1,42
1,42
1,43
1,42
1,42
1,43
1,41
1,41
1,43
1,43
1,44
1,43
1,43
1,44
1,43
1,44
1,42
1,43
1,43
1,43
1,44
1,43
1,43
1,43
1,44
1,44
1,38
1,43
1,44
1,44
1,44
1,44
1,44
1,45
1,44
1,45
1,45
1,45
1,46
1,45
1,45
1,46
1,45
1,46
1,45
1,52
1,44
1,46
1,46
1,46
1,46
1,46
1,47
1,47
1,46
1,47
1,47
1,47
1,47
1,47
1,47
1,47
1,46
1,47
2,0
1,46
1,48
1,47
1,47
1,48
1,47
1,48
1,48
1,48
1,48
1,48
1,48
1,48
1,48
1,48
1,48
1,48
1,48
1,49
1,45
1,47
1,49
1,50
1,49
1,49
1,49
1,49
1,49
1,50
1,50
1,49
1,50
1,50
1,50
1,50
1,49
1,50
1,50
1,80
1,50
1,50
1,51
1,51
1,50
1,51
1,51
1,51
1,51
1,51
1,51
1,51
1,52
1,51
1,51
1,51
1,51
1,51
1,108
1,50
1,52
1,52
1,52
1,52
1,52
1,52
1,52
1,52
1,52
1,53
1,52
1,52
1,52
1,53
1,53
1,53
1,53
1,54
1,52
1,53
1,53
1,53
1,53
1,53
1,54
1,54
1,53
1,54
1,54
1,54
1,53
1,54
1,53
1,54
1,53
1,54
1,53
1,60
1,52
1,53
1,54
1,54
1,55
1,55
1,55
1,54
1,55
1,54
1,55
1,55
1,55
1,56
1,56
1,56
1,55
1,56
1,49
1,55
1,55
1,56
1,56
1,56
1,56
1,56
1,57
1,57
1,56
1,56
1,57
1,57
1,58
1,57
1,57
1,56
1,57
1,58
1,57
1,57
1,57
1,58
1,57
1,58
1,58
1,58
1,57
1,58
1,58
1,59
1,58
1,58
1,58
1,58
1,59
1,59
1,58
1,64
1,58
1,58
1,59
1,59
1,59
1,60
1,59
1,59
1,59
1,60
1,59
1,59
1,60
1,60
1,60
1,60
1,60
1,60
1,49
1,59
1,59
1,60
1,60
1,60
1,61
1,61
1,60
1,60
1,61
1,61
1,61
1,61
1,61
1,62
1,61
1,61
1,62
1,62
1,60
1,62
1,61
1,62
1,62
1,62
1,62
1,62
1,62
1,63
1,63
1,63
1,62
1,62
1,63
1,63
1,64
1,62
1,63
1,64
1,63
1,63
1,64
1,63
1,63
1,64
1,63
1,64
1,63
1,64
1,64
1,64
1,64
1,64
1,63
1,64
1,64
1,63
1,124
1,62
1,63
1,64
1,64
1,64
1,63
1,64
1,64
1,64
1,64
1,64
1,64
1,64
1,64
1,64
1,65
1,65
1,64
1,66
1,64
1,66
1,65
1,66
1,66
1,66
1,67
1,67
1,66
1,66
1,66
1,67
1,66
1,67
1,66
1,66
1,68
1,67
1,67
1,86
1,66
1,67
1,67
1,67
1,68
1,67
1,67
1,68
1,67
1,68
1,68
1,68
1,68
1,68
1,68
1,68
1,68
1,68
1,68
1,67
1,68
1,68
1,68
1,68
1,68
1,68
1,69
1,68
1,69
1,68
1,69
1,70
1,69
1,70
1,69
1,69
1,70
1,70
1,67
1,70
1,70
1,71
1,70
1,71
1,70
1,70
1,70
1,71
1,70
1,71
1,70
1,70
1,71
1,71
1,71
1,72
1,71
1,72
1,71
1,71
1,71
1,71
1,71
1,72
1,72
1,72
1,72
1,72
1,72
1,72
1,72
1,72
1,72
1,72
1,72
1,73
1,48
1,71
1,72
1,73
1,72
1,72
1,73
1,73
1,73
1,73
1,73
1,73
1,73
1,74
1,73
1,73
1,73
1,73
1,74
1,74
1,72
1,73
1,73
1,74
1,73
1,73
1,74
1,73
1,74
1,74
1,74
1,74
1,74
1,74
1,75
1,74
1,74
1,74
1,75
1,92
1,74
1,74
1,75
1,75
1,75
1,76
1,75
1,76
1,76
1,76
1,76
1,76
1,76
1,76
1,77
1,76
1,76
1,76
1,32
1,75
1,77
1,76
1,77
1,77
1,77
1,78
1,77
1,78
1,77
1,78
1,77
1,78
1,78
1,77
1,77
1,78
1,78
1,78
1,77
1,78
1,78
1,78
1,78
1,78
1,78
1,78
1,78
1,78
1,78
1,78
1,79
1,79
1,79
1,78
1,78
1,79
1,79
1,83
1,78
1,79
1,80
1,80
1,80
1,79
1,79
1,80
1,80
1,80
1,80
1,80
1,80
1,80
1,80
1,80
1,80
1,80
1,64
1,78
1,81
1,80
1,81
1,82
1,80
1,81
1,81
1,81
1,81
1,81
1,82
1,82
1,82
1,82
1,82
1,82
1,82
1,83
1,78
1,82
1,82
1,82
1,83
1,82
1,83
1,82
1,82
1,82
1,84
1,83
1,83
1,82
1,83
1,83
1,84
1,84
1,83
1,84
1,82
1,84
1,84
1,84
1,83
1,84
1,83
1,84
1,83
1,83
1,83
1,84
1,84
1,83
1,83
1,83
1,83
1,84
1,83
1,82
1,84
1,83
1,84
1,84
1,84
1,85
1,84
1,84
1,85
1,85
1,86
1,85
1,85
1,85
1,85
1,86
1,86
1,86
1,84
1,86
1,86
1,86
1,85
1,86
1,86
1,86
1,86
1,86
1,86
1,87
1,87
1,87
1,87
1,87
1,86
1,87
1,87
1,82
1,86
1,87
1,87
1,88
1,87
1,88
1,87
1,88
1,88
1,87
1,88
1,88
1,88
1,88
1,88
1,88
1,89
1,88
1,140
1,88
1,88
1,88
1,88
1,89
1,88
1,88
1,89
1,89
1,89
1,89
1,89
1,90
1,89
1,90
1,89
1,90
1,90
1,81
1,90
1,90
1,90
1,89
1,90
1,90
1,91
1,90
1,91
1,91
1,91
1,90
1,91
1,91
1,90
1,91
1,91
1,89
1,90
1,92
1,91
1,92
1,91
1,92
1,91
1,92
1,92
1,92
1,92
1,92
1,92
1,92
1,92
1,92
1,93
1,93
1,92
1,88
1,92
1,92
1,92
1,93
1,92
1,92
1,93
1,93
1,93
1,93
1,93
1,93
1,93
1,93
1,93
1,93
1,93
1,92
1,92
1,92
1,93
1,92
1,92
1,93
1,92
1,93
1,93
1,94
1,93
1,93
1,94
1,94
1,93
1,94
1,94
1,94
1,95
1,86
1,94
1,94
1,94
1,95
1,95
1,95
1,95
1,95
1,96
1,96
1,95
1,96
1,96
1,95
1,96
1,96
1,96
1,96
1,91
1,96
1,96
1,96
1,95
1,96
1,96
1,96
1,97
1,96
1,96
1,96
1,96
1,98
1,96
1,97
1,96
1,98
1,97
1,100
1,96
1,97
1,98
1,96
1,98
1,98
1,97
1,97
1,97
1,98
1,98
1,99
1,96
1,98
1,98
1,98
1,98
1,98
1,152
1,97
1,98
1,99
1,99
1,99
1,98
1,99
1,100
1,99
1,100
1,99
1,100
1,99
1,100
1,100
1,100
1,100
1,100
1,100
1,96
1,100
1,99
1,100
1,100
1,101
1,100
1,101
1,101
1,101
1,100
1,101
1,100
1,101
1,101
1,101
1,101
1,101
1,102
1,108
1,101
1,101
1,101
1,102
1,102
1,102
1,102
1,101
1,102
1,101
1,101
1,102
1,102
1,103
1,103
1,103
1,102
1,102
1,101
1,101
1,102
1,102
1,102
1,102
1,102
1,102
1,102
1,102
1,103
1,102
1,102
1,102
1,102
1,103
1,102
1,103
1,103
1,103
1,101
1,103
1,103
1,103
1,103
1,104
1,104
1,104
1,104
1,104
1,104
1,104
1,104
1,104
1,104
1,105
1,105
1,104
1,105
1,107
1,104
1,104
1,105
1,105
1,104
1,105
1,105
1,105
1,105
1,105
1,106
1,106
1,106
1,106
1,106
1,106
1,106
1,106
1,106
1,105
1,106
1,106
1,106
1,107
1,107
1,106
1,107
1,107
1,107
1,107
1,107
1,107
1,107
1,107
1,107
1,108
1,107
1,107
1,104
1,107
1,108
1,108
1,108
1,108
1,108
1,108
1,108
1,108
1,108
1,108
1,108
1,109
1,109
1,108
1,109
1,109
1,109
1,112
1,108
1,108
1,108
1,109
1,109
1,109
1,109
1,110
1,109
1,109
1,110
1,110
1,109
1,110
1,110
1,110
1,110
1,110
1,109
1,109
1,110
1,110
1,111
1,110
1,110
1,110
1,111
1,110
1,111
1,110
1,110
1,111
1,111
1,111
1,110
1,110
1,111
1,111
1,108
1,112
1,111
1,111
1,111
1,111
1,111
1,111
1,112
1,111
1,111
1,111
1,111
1,111
1,111
1,111
1,111
1,111
1,111
1,118
1,110
1,112
1,111
1,112
1,111
1,112
1,112
1,112
1,112
1,112
1,112
1,113
1,112
1,113
1,112
1,113
1,113
1,113
1,80
1,111
1,112
1,113
1,114
1,114
1,114
1,114
1,114
1,114
1,114
1,115
1,114
1,114
1,114
1,115
1,115
1,115
1,115
1,114
1,112
1,114
1,115
1,115
1,114
1,115
1,115
1,115
1,116
1,115
1,115
1,115
1,116
1,115
1,116
1,115
1,115
1,116
1,116
21,156
1,115
1,116
1,115
1,116
1,116
1,116
1,116
1,117
1,116
1,117
1,116
1,116
1,117
1,117
1,117
1,117
1,117
1,117
1,116
1,116
1,117
1,118
1,117
1,117
1,117
1,118
1,117
1,118
1,118
1,118
1,117
1,118
1,118
1,118
1,118
1,118
1,118
1,118
1,115
1,118
1,118
1,118
1,119
1,119
1,119
1,119
1,118
1,118
1,120
1,119
1,119
1,119
1,119
1,119
1,119
1,120
1,119
1,124
1,118
1,119
1,119
1,120
1,120
1,119
1,120
1,120
1,120
1,120
1,119
1,119
1,119
1,119
1,120
1,119
1,119
1,119
1,98
1,117
1,119
1,120
1,120
1,119
1,120
1,120
1,120
1,120
1,119
1,120
1,121
1,121
1,121
1,121
1,121
1,122
1,121
1,122
1,114
1,121
1,122
1,122
1,122
1,122
1,121
1,122
1,123
1,123
1,122
1,123
1,122
1,122
1,122
1,122
1,123
1,123
1,122
1,126
1,122
1,123
1,123
1,123
1,123
1,124
1,123
1,124
1,123
1,123
1,123
1,124
1,123
1,123
1,124
1,123
1,124
1,124
1,96
1,121
1,124
1,124
1,124
1,124
1,124
1,124
1,124
1,124
1,124
1,125
1,125
1,124
1,125
1,125
1,125
1,125
1,124
1,125
1,120
1,125
1,126
1,126
1,124
1,125
1,126
1,126
1,126
1,125
1,126
1,126
1,126
1,126
1,126
1,127
1,126
1,126
1,126
1,121
1,126
1,126
1,126
1,127
1,127
1,127
1,126
1,127
1,127
1,127
1,127
1,127
1,127
1,127
1,127
21,156
21,156
21,156
21,156
1,127
1,127
21,156
21,156
21,156
1,127
21,156
21,156
21,156
21,156
1,127
1,127
1,127
1,127
1,127
1,126
1,127
1,126
1,127
1,119
1,126
1,126
1,126
1,127
21,156
1,127
1,127
21,156
1,127
21,156
21,156
21,156
21,156
21,156
21,156
21,156
21,156
1,130
1,122
21,156
1,130
1,130
1,130
1,129
1,130
1,130
1,131
1,130
1,131
1,130
1,130
1,131
1,130
1,131
1,130
1,131
1,131
1,131
21,156
1,130
1,131
1,130
1,131
1,131
1,131
1,131
1,132
1,131
1,132
1,131
1,132
1,131
1,132
1,132
1,132
1,131
1,132
1,124
1,131
1,132
1,132
1,132
1,132
1,132
1,133
1,132
1,132
1,133
1,133
1,132
1,133
1,133
1,133
1,134
1,134
1,133
1,131
1,132
1,134
1,133
1,134
1,134
1,134
1,134
1,134
1,134
1,134
1,134
1,134
1,135
1,134
1,134
1,134
1,134
1,134
1,120
1,132
1,134
1,134
1,134
1,135
1,136
1,135
1,135
1,135
1,134
1,135
1,135
1,135
1,134
1,135
1,136
1,136
1,136
1,135
1,134
1,135
1,135
1,135
1,136
1,136
1,135
1,136
1,135
1,136
1,135
1,135
1,135
1,135
1,134
1,134
1,134
1,135
1,134
1,140
1,133
1,134
1,134
1,135
1,135
1,135
1,135
1,135
1,135
1,136
1,135
1,136
1,136
1,136
1,136
1,136
1,137
1,138
1,136
1,136
1,137
1,138
1,137
1,138
1,138
1,138
1,138
1,138
1,138
1,138
1,138
1,138
1,138
1,138
1,138
1,138
1,138
1,138
1,137
1,138
1,138
1,138
1,138
1,139
1,139
1,139
1,138
1,138
1,139
1,139
1,139
1,140
1,139
1,139
1,139
1,139
1,139
1,144
1,138
1,140
1,140
1,140
1,140
1,140
1,140
1,140
1,140
1,140
1,140
1,140
1,140
1,141
1,140
1,140
1,140
1,141
1,158
1,140
1,141
1,141
1,141
1,141
1,141
1,141
1,141
1,142
1,141
1,142
1,141
1,142
1,142
1,141
1,142
1,142
1,142
1,142
1,139
1,142
1,142
1,142
1,142
1,143
1,142
1,142
1,142
1,143
1,143
1,143
1,143
1,143
1,143
1,143
1,143
1,143
1,143
1,143
1,143
1,143
1,143
1,143
1,143
1,143
1,144
1,143
1,143
1,144
1,142
1,142
1,142
1,143
1,142
1,142
1,142
1,142
1,188
1,141
1,142
1,142
1,142
1,143
1,142
1,142
1,142
1,142
1,143
1,143
1,143
1,143
1,144
1,143
1,144
1,144
1,144
1,144
1,143
1,144
1,144
1,145
1,144
1,145
1,145
1,145
1,145
1,146
1,145
1,146
1,145
1,146
1,145
1,146
1,146
1,146
1,146
1,147
1,144
1,145
1,146
1,146
1,147
1,146
1,146
1,146
1,146
1,146
1,147
1,147
1,146
1,146
1,147
1,147
1,147
1,147
1,208
1,145
1,147
1,147
1,147
1,147
1,147
1,147
1,148
1,148
1,147
1,147
1,148
1,148
1,148
1,148
1,148
1,148
1,148
1,148
1,144
1,148
1,148
1,148
1,149
1,149
1,149
1,149
1,149
1,149
1,149
1,150
1,149
1,150
1,150
1,149
1,149
1,150
1,154
1,148
1,150
1,150
1,150
1,150
1,150
1,150
1,150
1,151
1,150
1,150
1,150
1,151
1,150
1,151
1,151
1,150
1,150
1,145
1,150
1,151
1,151
1,151
1,151
1,151
1,151
1,151
1,150
1,150
1,151
1,150
1,151
1,150
1,151
1,150
1,150
1,150
21,156
1,148
1,149
1,149
1,150
1,149
1,149
1,150
1,149
1,150
1,149
1,150
1,149
1,150
1,149
1,150
1,150
1,150
1,150
1,150
1,150
1,152
1,151
1,151
1,151
1,152
1,152
1,151
1,152
1,153
1,152
1,152
1,152
1,152
1,153
1,153
1,152
1,160
1,152
1,153
1,153
1,153
1,153
1,153
1,154
1,154
1,153
1,154
1,154
1,153
1,154
1,154
1,154
1,154
1,154
1,154
1,150
1,154
1,153
1,154
1,154
1,154
1,154
1,154
1,154
1,154
1,154
1,155
1,154
1,155
1,154
1,155
1,155
1,156
1,153
1,152
1,155
1,155
1,155
1,155
1,155
1,155
1,156
1,156
1,156
1,156
1,156
1,156
1,156
1,156
1,156
1,156
1,156
1,157
1,154
1,156
1,156
1,157
1,156
1,156
1,157
1,157
1,156
1,156
1,157
1,157
1,157
1,157
1,158
1,158
1,158
1,157
1,158
1,176
1,156
1,157
1,158
1,158
1,158
1,158
1,158
1,158
1,158
1,158
1,158
1,158
1,158
1,158
1,159
1,158
1,158
1,158
21,156
1,156
1,158
1,158
1,158
1,157
1,157
1,158
1,157
1,157
1,157
1,157
1,157
1,157
1,157
1,157
1,157
1,157
1,157
1,157
1,160
1,156
1,157
1,158
1,157
1,158
1,157
1,158
1,158
1,158
1,159
1,159
1,159
1,159
1,159
1,160
1,159
1,159
1,159
1,166
1,159
1,160
1,160
1,160
1,160
1,160
1,160
1,160
1,160
1,160
1,160
1,161
1,161
1,161
1,160
1,160
1,161
1,160
21,156
1,159
1,161
1,162
1,162
1,162
1,161
1,162
1,160
1,162
1,161
1,162
1,162
1,162
1,162
1,162
1,162
1,163
1,162
1,162
1,155
1,162
1,162
1,163
1,162
1,163
1,163
1,163
1,163
1,163
1,163
1,163
1,163
1,164
1,163
1,164
1,163
1,163
1,163
1,160
1,163
1,164
1,164
1,164
1,163
1,164
1,164
1,164
1,164
1,164
1,165
1,164
1,164
1,164
1,164
1,164
1,164
1,164
1,165
1,163
1,165
1,164
1,164
1,165
1,165
1,165
1,165
1,166
1,165
1,165
1,165
1,166
1,166
1,166
1,165
1,166
1,166
1,166
1,158
1,165
1,165
1,165
1,166
1,166
1,166
1,165
1,165
1,164
1,165
1,165
1,165
1,164
1,164
1,164
1,164
1,164
1,164
1,168
1,163
1,164
1,163
1,164
1,164
1,164
1,164
1,165
1,164
1,165
1,164
1,164
1,165
1,165
1,166
1,166
1,166
1,166
1,166
1,164
1,166
1,167
1,166
1,167
1,167
1,168
1,168
1,167
1,167
1,168
1,168
1,168
1,168
1,168
1,168
1,168
1,168
1,168
1,161
1,167
1,169
1,168
1,168
1,168
1,168
1,168
1,168
1,168
1,168
1,168
1,168
1,169
1,169
1,169
1,169
1,169
1,169
1,175
1,168
1,169
1,169
1,169
1,169
1,169
1,169
1,170
1,169
1,169
1,170
1,169
1,170
1,170
1,170
1,171
1,170
1,171
1,170
1,169
1,170
1,171
1,171
1,171
1,171
1,171
1,171
1,171
1,171
1,171
1,171
1,171
1,171
1,172
1,172
1,172
1,171
1,172
1,169
1,171
1,172
1,172
1,172
1,171
1,172
1,172
1,172
1,172
1,171
1,172
1,172
1,172
1,172
1,173
1,172
1,173
1,172
1,174
1,172
1,173
1,173
1,173
1,172
1,173
1,173
1,172
1,172
1,172
1,172
1,172
1,172
1,172
1,171
1,171
1,170
1,171
1,144
1,168
1,170
1,171
1,170
1,171
1,170
1,170
1,171
1,171
1,170
1,171
1,170
1,171
1,171
1,171
1,172
1,171
1,172
1,172
1,169
1,172
1,172
1,173
1,173
1,174
1,173
1,173
1,173
1,174
1,174
1,175
1,174
1,174
1,174
1,175
1,174
1,175
1,174
1,175
1,174
1,175
1,175
1,175
1,175
1,175
1,175
1,176
1,176
1,175
1,175
1,175
1,175
1,175
1,175
1,176
1,175
1,175
1,202
1,175
1,176
1,176
1,176
1,176
1,176
1,176
1,176
1,176
1,176
1,176
1,177
1,177
1,176
1,176
1,176
1,177
1,176
1,176
1,172
1,176
1,177
1,177
1,177
1,177
1,177
1,177
1,177
1,178
1,178
1,178
1,178
1,178
1,178
1,178
1,178
1,178
1,178
1,232
1,178
1,179
1,178
1,178
1,179
1,178
1,179
1,178
1,179
1,179
1,179
1,179
1,179
1,179
1,178
1,180
1,179
1,180
1,177
1,177
1,179
1,179
1,179
1,180
1,179
1,180
1,178
1,179
1,179
1,179
1,178
1,178
1,179
1,179
1,178
1,178
1,178
1,178
1,169
1,177
1,177
1,177
1,176
1,176
1,177
1,177
1,176
1,176
1,176
1,177
1,177
1,177
1,176
1,177
1,177
1,178
1,177
1,182
1,177
1,178
1,179
1,178
1,179
1,179
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,181
1,181
1,181
1,181
1,181
1,144
1,179
1,181
1,182
1,181
1,182
1,182
1,182
1,182
1,182
1,182
1,182
1,182
1,182
1,182
1,183
1,182
1,182
1,182
1,182
1,181
1,182
1,181
1,183
1,182
1,182
1,183
1,182
1,183
1,183
1,183
1,183
1,183
1,183
1,183
1,184
1,183
1,184
1,183
1,188
1,182
1,183
1,184
1,184
1,184
1,184
1,184
1,184
1,184
1,184
1,184
1,184
1,184
1,184
1,184
1,184
1,185
1,185
1,176
1,183
1,185
1,185
1,185
1,185
1,185
1,185
1,184
1,184
1,185
1,185
1,186
1,185
1,186
1,184
1,186
1,186
1,185
1,186
1,181
1,185
1,186
1,186
1,186
1,186
1,186
1,186
1,185
1,186
1,186
1,186
1,186
1,186
1,186
1,186
1,185
1,184
1,186
1,192
1,184
1,184
1,184
1,184
1,184
1,184
1,183
1,184
1,183
1,183
1,183
1,184
1,183
1,183
1,183
1,183
1,182
1,184
1,183
1,182
1,184
1,184
1,184
1,184
1,184
1,184
1,185
1,185
1,186
1,185
1,186
1,186
1,186
1,187
1,186
1,187
1,186
1,186
1,183
1,187
1,188
1,188
1,188
1,188
1,188
1,189
1,188
1,188
1,188
1,189
1,189
1,189
1,189
1,188
1,188
1,189
1,188
1,192
1,188
1,188
1,188
1,189
1,188
1,189
1,188
1,189
1,189
1,189
1,190
1,189
1,189
1,189
1,189
1,189
1,190
1,190
1,189
1,187
1,190
1,190
1,190
1,190
1,190
1,190
1,190
1,190
1,190
1,190
1,190
1,191
1,190
1,191
1,190
1,191
1,190
1,191
1,186
1,191
1,191
1,192
1,191
1,192
1,191
1,191
1,191
1,191
1,192
1,192
1,192
1,191
1,192
1,191
1,192
1,192
1,192
1,196
1,190
1,192
1,192
1,192
1,192
1,192
1,192
1,192
1,192
1,192
1,192
1,192
1,192
1,192
1,192
1,192
1,192
1,192
1,191
1,191
1,192
1,192
1,192
1,192
1,192
1,191
1,192
1,192
1,191
1,191
1,190
1,191
1,190
1,190
1,190
1,190
1,189
1,190
1,187
1,189
1,190
1,190
1,190
1,190
1,190
1,190
1,191
1,191
1,190
1,190
1,191
1,191
1,192
1,191
1,192
1,192
1,192
1,200
1,192
1,192
1,192
1,192
1,193
1,194
1,194
1,195
1,194
1,194
1,194
1,195
1,194
1,195
1,194
1,195
1,194
1,195
1,193
1,192
1,195
1,195
1,195
1,196
1,195
1,195
1,195
1,195
1,195
1,195
1,195
1,195
1,196
1,196
1,196
1,196
1,196
1,197
1,192
1,195
1,196
1,196
1,197
1,196
1,196
1,197
1,197
1,196
1,197
1,197
1,196
1,197
1,197
1,197
1,197
1,197
1,197
1,203
1,196
1,197
1,197
1,197
1,198
1,198
1,197
1,198
1,198
1,198
1,197
1,198
1,198
1,197
1,198
1,198
1,199
1,197
1,197
1,196
1,198
1,199
1,198
1,198
1,199
1,199
1,198
1,198
1,198
1,199
1,198
1,199
1,199
1,198
1,199
1,199
1,199
1,199
1,192
1,199
1,199
1,199
1,199
1,199
1,200
1,199
1,199
1,200
1,199
1,198
1,199
1,199
1,198
1,199
1,199
1,198
1,197
1,195
1,196
1,197
1,197
1,197
1,197
1,197
1,196
1,197
1,196
1,196
1,196
1,197
1,196
1,196
1,198
1,196
1,197
1,197
1,197
1,195
1,198
1,198
1,198
1,199
1,198
1,199
1,198
1,199
1,199
1,200
1,199
1,200
1,200
1,200
1,200
1,201
1,200
1,200
1,197
1,201
1,201
1,202
1,200
1,201
1,202
1,201
1,202
1,202
1,202
1,202
1,201
1,202
1,202
1,202
1,201
1,202
1,202
1,197
1,201
1,202
1,202
1,202
1,202
1,202
1,202
1,202
1,202
1,202
1,203
1,202
1,203
1,202
1,203
1,202
1,203
1,203
1,201
1,200
1,202
1,204
1,203
1,204
1,203
1,203
1,203
1,204
1,203
1,204
1,204
1,204
1,204
1,204
1,204
1,204
1,204
1,204
1,197
1,203
1,204
1,204
1,204
1,204
1,205
1,205
1,205
1,205
1,205
1,205
1,205
1,205
1,204
1,205
1,205
1,205
1,205
1,208
1,204
1,205
1,205
1,206
1,205
1,206
1,206
1,205
1,206
1,206
1,205
1,205
1,206
1,206
1,206
1,206
1,206
1,205
1,201
1,202
1,205
1,205
1,204
1,204
1,204
1,204
1,204
1,203
1,203
1,203
1,203
1,203
1,203
1,203
1,202
1,203
1,203
1,203
1,197
1,202
1,203
1,203
1,204
1,204
1,204
1,203
1,204
1,204
1,204
1,205
1,204
1,204
1,205
1,206
1,206
1,206
1,206
1,208
1,206
1,207
1,206
1,207
1,207
1,207
1,207
1,207
1,208
1,207
1,207
1,208
1,208
1,208
1,208
1,208
1,208
1,208
1,208
1,206
1,207
1,207
1,208
1,208
1,208
1,208
1,208
1,208
1,208
1,208
1,208
1,208
1,208
1,208
1,209
1,208
1,208
1,208
1,206
1,208
1,209
1,209
1,209
1,209
1,209
1,209
1,209
1,210
1,209
1,209
1,210
1,210
1,209
1,210
1,210
1,210
1,210
1,216
1,208
1,210
1,210
1,210
1,211
1,210
1,210
1,210
1,211
1,210
1,211
1,211
1,211
1,210
1,211
1,211
1,211
1,211
1,192
1,208
1,211
1,211
1,211
1,211
1,211
1,212
1,211
1,212
1,211
1,212
1,211
1,212
1,212
1,211
1,212
1,212
1,212
1,211
1,208
1,211
1,211
1,212
1,211
1,211
1,211
1,210
1,210
1,210
1,210
1,210
1,210
1,209
1,209
1,209
1,209
1,209
1,208
1,212
1,207
1,208
1,208
1,209
1,208
1,208
1,208
1,208
1,209
1,209
